stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\danis\source\repos\ConsoleApplication1\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\danis\source\repos\ConsoleApplication1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00068] Also searching C:\Users\danis\source\repos\ConsoleApplication1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00183] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00194] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.01062] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.15169] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.15319] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.15334] al_display=0000021117F5C4B0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.15342] al_display->vt=0000021117F69640
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.29263] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.29286] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29334] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29510] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29577] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29589] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29603] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.29613] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29625] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.29637] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29648] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.29657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29669] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29678] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29688] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29697] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29707] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.29716] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29726] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.29745] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29754] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.29764] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29788] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29796] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29806] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29815] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29825] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.29834] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.29844] Score is : 721
