stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Diogo.DESKTOP-8OCSMG7\Documents\Opa\PI---Grupo-Austr-lia\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Diogo.DESKTOP-8OCSMG7\Documents\Opa\PI---Grupo-Austr-lia\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
font     W               font.c:370  al_init_font_addon               [   0.00089] Font addon already initialised.
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00201] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.05173] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.05194] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.05226] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.05250] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.05259] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.05271] added dtor for voice 0000012632DF96D0, func 00007FFE7399116D
dtor     D               dtor.c:196  _al_register_destructor          [   0.05285] added dtor for mixer 0000012632DF8A00, func 00007FFE73991488
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.05300] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.05309] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.05546] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.05571] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.05612] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.05625] added dtor for sample_instance 0000012632DFE9E0, func 00007FFE7399122B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05650] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05658] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05677] 
system   D            wsystem.c:836  maybe_parent_dir                 [   0.05718] Also searching C:\Users\Diogo.DESKTOP-8OCSMG7\Documents\Opa\PI---Grupo-Austr-lia\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.05767] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.05780] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.06439] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.19450] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.19624] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.19637] al_display=0000012634E41490
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.19646] al_display->vt=0000012634DFAD80
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.19943] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.19958] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19976] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.19990] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20001] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20010] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20018] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20027] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20039] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20047] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20055] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20062] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20072] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20078] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20086] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20093] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20104] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20114] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20122] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20129] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20142] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20152] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20164] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20178] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20191] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20199] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20208] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20220] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20230] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20237] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20244] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20251] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20258] Score is : 897
