stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\danis\source\repos\DanielBaptista24285611\PI---Grupo-Austr-lia\ConsoleApplication1\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\danis\Source\Repos\DanielBaptista24285611\PI---Grupo-Austr-lia\ConsoleApplication1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00059] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.04832] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.04844] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.04869] Using DirectSound driver
system   D            wsystem.c:836  maybe_parent_dir                 [   0.04899] Also searching C:\Users\danis\source\repos\DanielBaptista24285611\PI---Grupo-Austr-lia\ConsoleApplication1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.04932] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.04940] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.05649] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.49970] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.50899] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.51306] al_display=000002BBABF962C0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.51315] al_display->vt=000002BBABF6A320
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   1.17245] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   1.22960] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.29488] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.33001] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.37021] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.42989] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.46304] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   1.46824] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.47015] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   1.47804] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.49466] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   1.50965] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.53588] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.56224] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.58783] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.61804] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.64744] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   1.66230] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.68015] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   1.71298] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.71955] Score is : 717
